id_lexeme	lexeme	ori_lexeme	postag	ori_postag
74190	abkhasien	glaff	Adj	glaff
74191	abkhasien	glaff	Nm	glaff
74192	abkhasiienne	dimoc	Adj	dimoc
74193	abkhasiienne	dimoc	Nf	dimoc
74194	abkhaze	glaff	Adj	glaff
74195	abkhaze	glaff	Nf	glaff
74196	abkhaze	glaff	Nm	glaff
74197	abkhazite	dimoc	Nf	dimoc
74198	ablactation	glaff	Nf	glaff
74199	ablafardir	glaff	V	glaff
74200	ablaincourtois	dimoc	Adj	dimoc
74201	ablaincourtois	dimoc	Nm	dimoc
74202	ablaincourtoise	dimoc	Adj	dimoc
74203	ablaincourtoise	dimoc	Nf	dimoc
74204	ablainois	glaff	Adj	glaff
74205	ablainois	glaff	Nm	glaff
74206	ablainoise	dimoc	Adj	dimoc
74207	ablainoise	glaff	Nf	glaff
74208	ablainzevellois	glaff	Adj	glaff
74209	ablainzevellois	glaff	Nf	glaff
74210	ablainzevellois	dimoc	Nm	dimoc
74211	ablainzevelloise	dimoc	Adj	dimoc
74212	ablainzevelloise	glaff	Nf	glaff
74213	ablais	glaff	Nm	glaff
74214	ablaque	glaff	Nf	glaff
74215	ablaquéation	glaff	Nf	glaff
74216	ablatable	glaff	Adj	glaff
74217	ablater	demonette	V	demonette
74218	ablatif	glaff	Adj	glaff
74219	ablatif	glaff	Nm	glaff
74220	ablation	demonette	Nf	demonette
74221	ablatir	glaff	V	glaff
74222	able	glaff	Nm	glaff
74223	abled	glaff	Nm	glaff
74224	ableigeois	glaff	Adj	glaff
74225	ableigeois	glaff	Nm	glaff
74226	ableigeoise	dimoc	Adj	dimoc
74227	ableigeoise	glaff	Nf	glaff
74228	ableret	glaff	Nm	glaff
74229	ablerette	glaff	Nf	glaff
74230	ablet	dimoc	Nm	dimoc
74231	ablette	glaff	Nf	glaff
74232	ablettier	dimoc	Nm	dimoc
74233	ablier	glaff	Nm	glaff
74234	ablisien	glaff	Adj	glaff
74235	ablisien	glaff	Nm	glaff
74236	ablisienne	glaff	Nf	glaff
74237	ablisiienne	dimoc	Adj	dimoc
74238	ablisiienne	dimoc	Nf	dimoc
74239	ablière	dimoc	Nf	dimoc
74240	abloc	glaff	Nm	glaff
74241	ablocage	demonette	Nm	demonette
74242	ablonais	glaff	Adj	glaff
74243	ablonais	glaff	Nm	glaff
74244	ablonaise	dimoc	Adj	dimoc
74245	ablonaise	glaff	Nf	glaff
74246	ablonnais	glaff	Adj	glaff
74247	ablonnais	glaff	Nm	glaff
