cinnamome	NOM	cinnamome
lotus	NOM	lotus
flaques	NOM	flaque
terre	NOM	terre
où	PRO:REL	où
glissait	VER:impf	glisser
fumée	NOM	fumée
viandes	NOM	viande
montait	VER:impf	monter
feuillages	NOM	feuillage
vapeur	NOM	vapeur
haleines	NOM	haleine
entendait	VER:impf	entendre
fois	NOM	fois
claquement	NOM	claquement
mâchoires	NOM	mâchoire
bruit	VER:simp	bruir
paroles	NOM	parole
chansons	NOM	chanson
coupes	NOM	coupe
fracas	NOM	fracas
vases	NOM	vase
campaniens	ADJ	campanien
écroulaient	VER:impf	écrouler
mille	NUM	mille
morceaux	NOM	morceau
limpide	ADJ	limpide
grand	ADJ	grand
plat	NOM	plat
argent	NOM	argent
mesure	NOM	mesure
augmentait	VER:impf	augmenter
ivresse	NOM	ivresse
rappelaient	VER:impf	rappeler
plus	ADV	plus
plus	ADV	plus
injustice	NOM	injustice
Carthage	NAM	Carthage
effet	NOM	effet
République	NOM	république
épuisée	VER:pper	épuiser
guerre	NOM	guerre
laissé	VER:pper	laisser
accumuler	VER:infi	accumuler
ville	NOM	ville
toutes	PRO:IND	tout
bandes	NOM	bande
revenaient	VER:impf	revenir
Giscon	NAM	<unknown>
général	NOM	général
cependant	ADV	cependant
prudence	NOM	prudence
renvoyer	VER:infi	renvoyer
uns	NOM	un
après	PRP	après
autres	ADJ	autre
faciliter	VER:infi	faciliter
acquittement	NOM	acquittement
solde	NOM	solde
Conseil	NOM	conseil
cru	VER:pper	croire
finiraient	VER:cond	finir
consentir	VER:infi	consentir
quelque	PRO:IND	quelque
diminution	NOM	diminution
voulait	VER:impf	vouloir
aujourd	NOM	<unknown>
hui	VER:pper	<unknown>
pouvoir	VER:infi	pouvoir
payer	VER:infi	payer
Cette	PRO:DEM	ce
dette	NOM	dette
confondait	VER:impf	confondre
esprit	NOM	esprit
peuple	NOM	peuple
trois	NUM	trois
mille	NUM	mille
deux	NUM	deux
cents	NOM	cent
talents	NOM	talent
euboïques	ADJ	<unknown>
exigés	VER:pper	exiger
Lutatius	NAM	<unknown>
comme	ADV	comme
Rome	NAM	Rome
ennemi	NOM	ennemi
Carthage	NAM	Carthage
Mercenaires	NOM	mercenaire
comprenaient	VER:impf	comprendre
aussi	ADV	aussi
indignation	NOM	indignation
éclatait	VER:impf	éclater
menaces	NOM	menace
débordements	NOM	débordement
Enfin	ADV	enfin
demandèrent	VER:simp	demander
réunir	VER:infi	réunir
célébrer	VER:infi	célébrer
leurs	DET:POS	leur
victoires	NOM	victoire
parti	NOM	parti
paix	NOM	paix
céda	VER:simp	céder
vengeant	VER:ppre	venger
Hamilcar	NAM	Hamilcar
tant	ADV	tant
soutenu	VER:pper	soutenir
guerre	NOM	guerre
terminée	VER:pper	terminer
contre	PRP	contre
tous	PRO:IND	tout
efforts	NOM	effort
si	KON	si
bien	ADV	bien
désespérant	VER:ppre	désespérer
Carthage	NAM	Carthage
remis	VER:pper	remettre
Giscon	NAM	<unknown>
gouvernement	NOM	gouvernement
Mercenaires	NOM	mercenaire
Désigner	VER:infi	désigner
palais	NOM	palais
recevoir	VER:infi	recevoir
attirer	VER:infi	attirer
quelque	PRO:IND	quelque
chose	NOM	chose
haine	NOM	haine
portait	VER:impf	porter
ailleurs	ADV	ailleurs
dépense	NOM	dépense
devait	VER:impf	devoir
être	VER:infi	être
excessive	ADJ	excessif
subirait	VER:cond	subir
presque	ADV	presque
toute	PRO:IND	tout
Fiers	ADJ	fier
avoir	VER:infi	avoir
fait	VER:pper	faire
plier	VER:infi	plier
République	NOM	république
Mercenaires	NOM	mercenaire
croyaient	VER:impf	croire
allaient	VER:impf	aller
enfin	ADV	enfin
retourner	VER:infi	retourner
chez	PRP	chez
solde	NOM	solde
sang	NOM	sang
capuchon	NOM	capuchon
manteau	NOM	manteau
leurs	DET:POS	leur
fatigues	NOM	fatigue
revues	VER:pper	revoir
travers	NOM	travers
vapeurs	NOM	vapeur
ivresse	NOM	ivresse
semblaient	VER:impf	sembler
prodigieuses	ADJ	prodigieux
trop	ADV	trop
peu	ADV	peu
récompensées	VER:pper	récompenser
montraient	VER:impf	montrer
leurs	DET:POS	leur
blessures	NOM	blessure
racontaient	VER:impf	raconter
leurs	DET:POS	leur
combats	NOM	combat
leurs	DET:POS	leur
voyages	NOM	voyage
chasses	NOM	chasse
leurs	DET:POS	leur
pays	NOM	pays
imitaient	VER:impf	imiter
cri	NOM	cri
bêtes	NOM	bête
féroces	ADJ	féroce
leurs	DET:POS	leur
bonds	NOM	bond
Puis	ADV	puis
vinrent	VER:simp	venir
immondes	ADJ	immonde
gageures	NOM	gageure
enfonçaient	VER:impf	enfoncer
tête	NOM	tête
amphores	NOM	amphore
restaient	VER:impf	rester
boire	VER:infi	boire
sans	KON	sans
interrompre	VER:infi	interrompre
comme	ADV	comme
dromadaires	NOM	dromadaire
altérés	VER:pper	altérer
Lusitanien	NOM	lusitanien
taille	NOM	taille
gigantesque	ADJ	gigantesque
portant	VER:ppre	porter
homme	NOM	homme
bout	NOM	bout
chaque	PRO:IND	chaque
bras	NOM	bras
parcourait	VER:impf	parcourir
tables	NOM	table
tout	ADV	tout
crachant	VER:ppre	cracher
feu	NOM	feu
narines	NOM	narine
Lacédémoniens	NOM	lacédémonien
point	ADV	point
ôté	VER:pper	ôter
leurs	DET:POS	leur
cuirasses	NOM	cuirasse
sautaient	VER:impf	sauter
lourd	ADJ	lourd
Quelques	PRO:IND	quelque
uns	NOM	un
avançaient	VER:impf	avancer
comme	ADV	comme
femmes	NOM	femme
faisant	VER:ppre	faire
gestes	NOM	geste
obscènes	ADJ	obscène
autres	ADJ	autre
mettaient	VER:impf	mettre
nus	NOM	nu
combattre	VER:infi	combattre
milieu	NOM	milieu
coupes	NOM	coupe
façon	NOM	façon
gladiateurs	NOM	gladiateur
compagnie	NOM	compagnie
Grecs	NAM	Grecs
dansait	VER:impf	danser
autour	ADV	autour
vase	NOM	vase
où	PRO:REL	où
voyait	VER:impf	voir
nymphes	NOM	nymphe
pendant	PRP	pendant
nègre	NOM	nègre
tapait	VER:impf	taper
os	NOM	os
bœuf	NOM	bœuf
bouclier	NOM	bouclier
airain	NOM	airain
Tout	ADV	tout
coup	NOM	coup
entendirent	VER:simp	entendre
chant	NOM	chant
plaintif	ADJ	plaintif
chant	NOM	chant
fort	ADJ	fort
doux	ADJ	doux
abaissait	VER:impf	abaisser
remontait	VER:impf	remonter
airs	NOM	air
comme	KON	comme
battement	NOM	battement
ailes	NOM	aile
oiseau	NOM	oiseau
blessé	VER:pper	blesser
voix	NOM	voix
esclaves	NOM	esclave
ergastule	NOM	ergastule
soldats	NOM	soldat
délivrer	VER:infi	délivrer
levèrent	VER:simp	lever
bond	NOM	bond
disparurent	VER:simp	disparaître
revinrent	VER:simp	revenir
chassant	VER:ppre	chasser
milieu	NOM	milieu
cris	NOM	cri
poussière	NOM	poussière
vingtaine	NOM	vingtaine
hommes	NOM	homme
distinguait	VER:impf	distinguer
visage	NOM	visage
plus	ADV	plus
pâle	ADJ	pâle
petit	ADJ	petit
bonnet	NOM	bonnet
forme	NOM	forme
conique	ADJ	conique
feutre	NOM	feutre
noir	ADJ	noir
couvrait	VER:impf	couvrir
tête	NOM	tête
rasée	ADJ	rasé
portaient	VER:impf	porter
tous	PRO:IND	tout
sandales	NOM	sandale
bois	NOM	bois
faisaient	VER:impf	faire
bruit	NOM	bruit
ferrailles	NOM	ferraille
comme	KON	comme
chariots	NOM	chariot
marche	NOM	marche
arrivèrent	VER:simp	arriver
avenue	NOM	avenue
cyprès	NOM	cyprès
où	PRO:REL	où
perdirent	VER:simp	perdre
parmi	PRP	parmi
foule	NOM	foule
interrogeait	VER:impf	interroger
resté	VER:pper	rester
écart	NOM	écart
debout	ADV	debout
travers	NOM	travers
déchirures	NOM	déchirure
tunique	NOM	tunique
apercevait	VER:impf	apercevoir
épaules	NOM	épaule
rayées	VER:pper	rayer
longues	ADJ	longue
balafres	NOM	balafre
Baissant	VER:ppre	baisser
menton	NOM	menton
regardait	VER:impf	regarder
autour	ADV	autour
méfiance	NOM	méfiance
fermait	VER:impf	fermer
peu	ADV	peu
paupières	NOM	paupière
éblouissement	NOM	éblouissement
flambeaux	NOM	flambeau
quand	KON	quand
vit	VER:pres	vivre
personne	NOM	personne
gens	NOM	gens
armés	ADJ	armé
voulait	VER:impf	vouloir
grand	ADJ	grand
soupir	NOM	soupir
échappa	VER:simp	échapper
poitrine	NOM	poitrine
balbutiait	VER:impf	balbutier
ricanait	VER:impf	ricaner
sous	PRP	sous
larmes	NOM	larme
claires	ADJ	clair
lavaient	VER:impf	laver
figure	NOM	figure
puis	ADV	puis
saisit	VER:pres	saisir
anneaux	NOM	anneau
canthare	NOM	canthare
tout	ADV	tout
plein	ADJ	plein
leva	NOM	leva
droit	ADJ	droit
air	NOM	air
bout	NOM	bout
bras	NOM	bras
où	PRO:REL	où
pendaient	VER:impf	pendre
chaînes	NOM	chaîne
alors	ADV	alors
regardant	VER:ppre	regarder
ciel	NOM	ciel
toujours	ADV	toujours
tenant	VER:ppre	tenir
coupe	NOM	coupe
dit	VER:pres	dire
Salut	NOM	salut
abord	NOM	abord
Baal	NAM	<unknown>
Eschmoûn	NAM	<unknown>
libérateur	ADJ	libérateur
gens	NOM	gens
patrie	NOM	patrie
appellent	VER:pres	appeler
Esculape	NOM	esculape
Génies	NOM	génie
fontaines	NOM	fontaine
lumière	NOM	lumière
bois	NOM	bois
Dieux	NOM	Dieu
cachés	VER:pper	cacher
sous	PRP	sous
montagnes	NOM	montagne
cavernes	NOM	caverne
terre	NOM	terre
hommes	NOM	homme
forts	ADJ	fort
armures	NOM	armure
reluisantes	ADJ	reluisant
délivré	VER:pper	délivrer
Puis	ADV	puis
